run_id,source_domain_seed,iteration,method,noise_level,signed_selection_bias,positive_selection_bias,selection_bias_inf_norm,max_positive_selection_bias,min_signed_selection_bias,signed_selection_bias_percent,positive_selection_bias_percent,selection_bias_inf_norm_percent,max_positive_selection_bias_percent,min_signed_selection_bias_percent,oracle_performance,num_noise_trajectories,sync_period,stepsize,discount,selection_bias_definition,noise_location,aggregation_is_written_back,map_name,target_domain,source_randomness,bellman_noise_seed,source_domain_base_seed,bellman_noise_base_seed,uncertainty_distance,robust_backup_type,source_index,perturb_epsilon,empirical_gamma_l1,mean_local_l1_radius,similarity_weight
0,2026,60,Maximum-based,0.008,0.002588116436856627,0.002588116436856627,0.004318678240495866,0.004318678240495866,7.304136421915075e-05,0.624183431063344,0.624183431063344,1.0415479626122575,1.0415479626122575,0.017615594367627937,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,65,Maximum-based,0.008,0.0025472098344723844,0.0025472098344723844,0.004221029219439246,0.004221029219439246,4.539759981581071e-05,0.6143178689635369,0.6143178689635369,1.0179976693815844,1.0179976693815844,0.010948668773762401,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,70,Maximum-based,0.008,0.0025373176330054942,0.0025373176330054942,0.004090170273274171,0.004090170273274171,0.00013473106479056085,0.6119321384900376,0.6119321384900376,0.9864380436864387,0.9864380436864387,0.03249347560032078,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,75,Maximum-based,0.008,0.002501536861228363,0.002501536861228363,0.004109639547090399,0.004109639547090399,9.39605300802615e-05,0.6033027875938045,0.6033027875938045,0.9911335040443523,0.9911335040443523,0.02266072932995986,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,80,Maximum-based,0.008,0.0025208560906689204,0.0025208560906689204,0.004184966201460277,0.004184966201460277,3.0079992495601893e-05,0.6079620613212079,0.6079620613212079,1.0093002483629419,1.0093002483629419,0.007254477679168082,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,85,Maximum-based,0.008,0.0024756353617847427,0.0024756353617847427,0.003983826151456982,0.003983826151456982,1.631666484436245e-05,0.5970560490150565,0.5970560490150565,0.9607907281777552,0.9607907281777552,0.003935136650356581,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,90,Maximum-based,0.008,0.0025232121109992475,0.0025232121109992475,0.003954968696423172,0.003954968696423172,5.76361278176174e-05,0.6085302694715431,0.6085302694715431,0.9538310933490239,0.9538310933490239,0.013900269517278598,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,95,Maximum-based,0.008,0.002513650747141938,0.002513650747141938,0.0040941830478862795,0.0040941830478862795,3.7938781015656176e-06,0.6062243280490046,0.6062243280490046,0.9874058159975299,0.9874058159975299,0.0009149804146166768,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,100,Maximum-based,0.008,0.002506579583190955,0.002506579583190955,0.004058472597130908,0.004058472597130908,3.6933438050112954e-05,0.6045189552482753,0.6045189552482753,0.9787934246229059,0.9787934246229059,0.008907342712557425,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
0,2026,105,Maximum-based,0.008,0.0024654383709206383,0.0024654383709206383,0.004007340755350891,0.004007340755350891,0.0,0.5945968116123497,0.5945968116123497,0.9664618123413495,0.9664618123413495,0.0,0.4146403617999878,60,5,0.5,0.99,E[Agg(Q_xi)] - Agg(E[Q_xi]),bellman_backup,True,8x8,fixed,perturbation_seed,3000.0,2026.0,3000.0,support_restricted_tv_l1,exact_support_restricted_l1,,,,,
