seed,bias_level,method,normalized_performance,target_performance,oracle_performance,penalty_type,p_norm,robust_q,sync_period,stepsize,source_index,source_gamma,actual_source_gamma,local_gamma_max,local_gamma_mean,mixing_coefficient,similarity_weight
0,0.0,Maximum-based,0.9998342259560667,15.649653348005021,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,
0,0.0,Similarity-aware,0.9996515945049528,15.646794755224159,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,
0,0.5,Maximum-based,0.9898632858558964,15.493585719921798,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,
0,0.5,Similarity-aware,0.9963356047795165,15.594892061396088,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,
0,1.0,Maximum-based,0.9794506383529508,15.33060437798959,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,
0,1.0,Similarity-aware,0.9886422240923719,15.474473358272656,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,
0,1.5,Maximum-based,0.9675960492153294,15.145053407868117,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,
0,1.5,Similarity-aware,0.9687092455698286,15.162477433375464,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,
0,2.0,Maximum-based,0.9615084331963728,15.049768531696436,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,
0,2.0,Similarity-aware,0.9672064807026847,15.138955784862306,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,
0,-1.0,metadata,,,,state_action_local,1,inf,5,0.05,0.0,0.1,0.1000000000000001,0.1000000000000001,0.09208857446067491,0.04999999999999999,0.4799984800104797
0,-1.0,metadata,,,,state_action_local,1,inf,5,0.05,1.0,0.2,0.20000000000000004,0.20000000000000004,0.18868845432901962,0.09999999999999998,0.24000043999544013
0,-1.0,metadata,,,,state_action_local,1,inf,5,0.05,2.0,0.3,0.30000000000000004,0.30000000000000004,0.27898912624055455,0.14999999999999997,0.1600005599965601
0,-1.0,metadata,,,,state_action_local,1,inf,5,0.05,3.0,0.4,0.4,0.4,0.3757417263343727,0.19999999999999996,0.12000051999752008
1,0.0,Maximum-based,0.999645124858091,16.001863029782847,16.00754370912824,state_action_local,1,inf,5,0.05,,,,,,,
1,0.0,Similarity-aware,0.9973619320616665,15.965314721297714,16.00754370912824,state_action_local,1,inf,5,0.05,,,,,,,
1,0.5,Maximum-based,0.999645124858091,16.001863029782847,16.00754370912824,state_action_local,1,inf,5,0.05,,,,,,,
1,0.5,Similarity-aware,0.999645124858091,16.001863029782847,16.00754370912824,state_action_local,1,inf,5,0.05,,,,,,,
1,1.0,Maximum-based,0.9932013516381725,15.898714048313291,16.00754370912824,state_action_local,1,inf,5,0.05,,,,,,,
1,1.0,Similarity-aware,0.9974518328081511,15.966753811426551,16.00754370912824,state_action_local,1,inf,5,0.05,,,,,,,
1,1.5,Maximum-based,0.9843569735127126,15.757137278889935,16.00754370912824,state_action_local,1,inf,5,0.05,,,,,,,
1,1.5,Similarity-aware,0.9929717745701495,15.8950390833623,16.00754370912824,state_action_local,1,inf,5,0.05,,,,,,,
1,2.0,Maximum-based,0.9638064790564901,15.428174340637755,16.00754370912824,state_action_local,1,inf,5,0.05,,,,,,,
1,2.0,Similarity-aware,0.9912243168498458,15.867066577524685,16.00754370912824,state_action_local,1,inf,5,0.05,,,,,,,
1,-1.0,metadata,,,,state_action_local,1,inf,5,0.05,0.0,0.1,0.10000000000000009,0.10000000000000009,0.09476615738937315,0.04999999999999999,0.4799984800104797
1,-1.0,metadata,,,,state_action_local,1,inf,5,0.05,1.0,0.2,0.20000000000000004,0.20000000000000004,0.19253617104581694,0.09999999999999998,0.2400004399954401
1,-1.0,metadata,,,,state_action_local,1,inf,5,0.05,2.0,0.3,0.3,0.3,0.27728314930182696,0.14999999999999997,0.1600005599965601
1,-1.0,metadata,,,,state_action_local,1,inf,5,0.05,3.0,0.4,0.4,0.4,0.3749206828151775,0.19999999999999996,0.12000051999752007
2,0.0,Maximum-based,0.9993900987048998,17.078533887662566,17.08895646434208,state_action_local,1,inf,5,0.05,,,,,,,
2,0.0,Similarity-aware,0.9980519673709503,17.05566661955313,17.08895646434208,state_action_local,1,inf,5,0.05,,,,,,,
2,0.5,Maximum-based,0.9982749070105811,17.059476425348958,17.08895646434208,state_action_local,1,inf,5,0.05,,,,,,,
2,0.5,Similarity-aware,0.9980519673709503,17.05566661955313,17.08895646434208,state_action_local,1,inf,5,0.05,,,,,,,
2,1.0,Maximum-based,0.9982749070105811,17.059476425348958,17.08895646434208,state_action_local,1,inf,5,0.05,,,,,,,
2,1.0,Similarity-aware,0.9965914230351911,17.0307074409851,17.08895646434208,state_action_local,1,inf,5,0.05,,,,,,,
2,1.5,Maximum-based,0.9982749070105811,17.059476425348958,17.08895646434208,state_action_local,1,inf,5,0.05,,,,,,,
2,1.5,Similarity-aware,0.9965914230351911,17.0307074409851,17.08895646434208,state_action_local,1,inf,5,0.05,,,,,,,
2,2.0,Maximum-based,0.9893688479145542,16.907281169188096,17.08895646434208,state_action_local,1,inf,5,0.05,,,,,,,
2,2.0,Similarity-aware,0.9841175456086545,16.817541892701477,17.08895646434208,state_action_local,1,inf,5,0.05,,,,,,,
2,-1.0,metadata,,,,state_action_local,1,inf,5,0.05,0.0,0.1,0.10000000000000012,0.10000000000000012,0.09396016112047718,0.04999999999999999,0.4799984800104797
2,-1.0,metadata,,,,state_action_local,1,inf,5,0.05,1.0,0.2,0.2,0.2,0.18973269386867253,0.09999999999999998,0.24000043999544013
2,-1.0,metadata,,,,state_action_local,1,inf,5,0.05,2.0,0.3,0.29999999999999993,0.29999999999999993,0.2805761589710633,0.14999999999999997,0.16000055999656015
2,-1.0,metadata,,,,state_action_local,1,inf,5,0.05,3.0,0.4,0.4,0.4,0.370267462747576,0.19999999999999996,0.12000051999752008
3,0.0,Maximum-based,1.0,16.38393860389506,16.38393860389506,state_action_local,1,inf,5,0.05,,,,,,,
3,0.0,Similarity-aware,1.0,16.38393860389506,16.38393860389506,state_action_local,1,inf,5,0.05,,,,,,,
3,0.5,Maximum-based,1.0,16.38393860389506,16.38393860389506,state_action_local,1,inf,5,0.05,,,,,,,
3,0.5,Similarity-aware,0.9997321601861706,16.379550332829602,16.38393860389506,state_action_local,1,inf,5,0.05,,,,,,,
3,1.0,Maximum-based,0.9963879797778316,16.324759486339026,16.38393860389506,state_action_local,1,inf,5,0.05,,,,,,,
3,1.0,Similarity-aware,0.9997321601861706,16.379550332829602,16.38393860389506,state_action_local,1,inf,5,0.05,,,,,,,
3,1.5,Maximum-based,0.9538340333157245,15.627558240150426,16.38393860389506,state_action_local,1,inf,5,0.05,,,,,,,
3,1.5,Similarity-aware,0.9771363206400381,16.009341485002302,16.38393860389506,state_action_local,1,inf,5,0.05,,,,,,,
