seed,iteration,method,noise_level,signed_selection_bias,positive_selection_bias,selection_bias_inf_norm,num_noise_trajectories,selection_bias_definition,aggregation_is_written_back,actual_source_gammas,similarity_weights,penalty_type,p_norm,robust_q,sync_period,stepsize
0,5,Maximum-based,1.0,0.058321635213416316,0.058321635213416316,0.07036259433090458,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,10,Maximum-based,1.0,0.05666920435814582,0.05666920435814582,0.06819887976440275,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,15,Maximum-based,1.0,0.053952518290496757,0.053952518290496757,0.06801230675424341,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,20,Maximum-based,1.0,0.05283910748425443,0.05283910748425443,0.0673152298514137,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,25,Maximum-based,1.0,0.052797339603054286,0.052797339603054286,0.06295391429988895,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,30,Maximum-based,1.0,0.05168636293546054,0.05168636293546054,0.0663286483387926,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,35,Maximum-based,1.0,0.050356236583387635,0.050356236583387635,0.06259061839834001,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,40,Maximum-based,1.0,0.05016102326488308,0.05016102326488308,0.06126260384471083,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,45,Maximum-based,1.0,0.04924147720209267,0.04924147720209267,0.05948389974832513,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,50,Maximum-based,1.0,0.04963743905954021,0.04963743905954021,0.06542452499441964,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,55,Maximum-based,1.0,0.04843725705308408,0.04843725705308408,0.06147684518493435,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,60,Maximum-based,1.0,0.04926765649322774,0.04926765649322774,0.06563522015365564,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,65,Maximum-based,1.0,0.04844541786559152,0.04844541786559152,0.06355267250970442,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,70,Maximum-based,1.0,0.04813952603614037,0.04813952603614037,0.0625134581708382,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,75,Maximum-based,1.0,0.04829819677683176,0.04829819677683176,0.06198951341793313,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,80,Maximum-based,1.0,0.04827427412264691,0.04827427412264691,0.0586219653645621,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,85,Maximum-based,1.0,0.04808443284587812,0.04808443284587812,0.06335471494119105,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,90,Maximum-based,1.0,0.047364294495032364,0.047364294495032364,0.06330052135984365,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,95,Maximum-based,1.0,0.048459193149975925,0.048459193149975925,0.0598887194446176,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
0,100,Maximum-based,1.0,0.0476523238465513,0.0476523238465513,0.06087324746449374,60,E[Agg(Q_xi)] - Agg(E[Q_xi]),True,"[0.1000000000000001, 0.20000000000000004, 0.30000000000000004, 0.4]","[0.4799984800104797, 0.24000043999544013, 0.1600005599965601, 0.12000051999752008]",state_action_local,1,inf,5,0.05
