seed,iteration,method,target_performance,normalized_performance,oracle_performance,penalty_type,p_norm,robust_q,sync_period,stepsize,source_index,source_gamma,actual_source_gamma,local_gamma_max,local_gamma_mean,mixing_coefficient,uniform_weight,similarity_weight
0,1,Maximum-based,15.206491764431284,0.9715212589508011,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,5,Maximum-based,15.206491764431284,0.9715212589508011,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,10,Maximum-based,15.333409452788906,0.9796298506158908,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,15,Maximum-based,15.333409452788906,0.9796298506158908,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,20,Maximum-based,15.333409452788906,0.9796298506158908,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,25,Maximum-based,15.333409452788906,0.9796298506158908,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,30,Maximum-based,15.333409452788906,0.9796298506158908,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,35,Maximum-based,15.415170223135599,0.9848534306349062,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,40,Maximum-based,15.415170223135599,0.9848534306349062,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,45,Maximum-based,15.415170223135599,0.9848534306349062,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,50,Maximum-based,15.490931678425584,0.9896937228971513,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,55,Maximum-based,15.490931678425584,0.9896937228971513,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,60,Maximum-based,15.490931678425584,0.9896937228971513,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,65,Maximum-based,15.490931678425584,0.9896937228971513,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,70,Maximum-based,15.490931678425584,0.9896937228971513,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,75,Maximum-based,15.490931678425584,0.9896937228971513,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,80,Maximum-based,15.59066416330809,0.9960654903483381,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,85,Maximum-based,15.59066416330809,0.9960654903483381,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,90,Maximum-based,15.593001261212656,0.9962148042291273,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,95,Maximum-based,15.646794755224159,0.9996515945049528,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,100,Maximum-based,15.646794755224159,0.9996515945049528,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,105,Maximum-based,15.646794755224159,0.9996515945049528,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,110,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,115,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,120,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,125,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,130,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,135,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,140,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,145,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,150,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
0,155,Maximum-based,15.649653348005021,0.9998342259560667,15.65224808446663,state_action_local,1,inf,5,0.05,,,,,,,,
