seed,iteration,method,target_performance,normalized_performance,oracle_performance,uses_robust_term,penalty_type,p_norm,robust_q,sync_period,stepsize,aggregation,source_index,source_gamma,max_selected_count,max_selected_fraction,actual_source_gamma,local_gamma_max,local_gamma_mean,mixing_coefficient,uniform_weight,similarity_weight
0,180,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,185,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,190,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,195,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,200,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,205,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,210,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,215,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,220,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,225,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,230,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,235,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,240,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,245,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,250,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,255,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,260,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,265,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,270,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,275,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,280,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,285,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,290,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,295,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,300,Non-robust DR,15.402825292035079,0.9840647304409212,15.65224808446663,False,none,1,inf,1,0.05,uniform_model_mixture,,,,,,,,,,
0,-1,metadata,,,,,none,1,inf,1,0.05,uniform_model_mixture,0.0,0.3,0.0,0.0,0.3,0.3,0.27626572338202443,0.14999999999999997,0.16666666666666666,0.408162732967454
